"ID","AAO_DATE","START_DATE","END_DATE","URL"
"1","1901-01-01","1901-01-01","1905-02-02","https://www.legislation.gov.au/Details/C2004Q00001"
"2","1901-01-01","1905-02-03","1906-05-31","https://www.legislation.gov.au/Details/C2004Q00002"
"3","1901-01-01","1906-06-01","1906-07-12","https://www.legislation.gov.au/Details/C2004Q00003"
"4","1901-01-01","1906-07-13","1906-12-10","https://www.legislation.gov.au/Details/C2004Q00004"
"5","1901-01-01","1906-12-13","1912-04-03","https://www.legislation.gov.au/Details/C2004Q00005"
"6","1912-04-04","1912-04-04","1915-09-21","https://www.legislation.gov.au/Details/C2004Q00006"
"7","1915-09-22","1915-09-22","1916-12-19","https://www.legislation.gov.au/Details/C2004Q00007"
"8","1915-09-22","1916-12-20","1918-07-16","https://www.legislation.gov.au/Details/C2004Q00008"
"9","1915-09-22","1918-07-17","1923-03-13","https://www.legislation.gov.au/Details/C2004Q00009"
"10","1915-09-22","1923-03-14","1925-06-23","https://www.legislation.gov.au/Details/C2004Q00010"
"11","1915-09-22","1925-06-24","1928-12-10","https://www.legislation.gov.au/Details/C2004Q00011"
"12","1915-09-22","1928-12-11","1932-04-12","https://www.legislation.gov.au/Details/C2004Q00012"
"13","1932-04-13","1932-04-13","1936-08-12","https://www.legislation.gov.au/Details/C2004Q00013"
"14","1932-04-13","1936-08-13","1939-04-03","https://www.legislation.gov.au/Details/C2004Q00014"
"15","1932-04-13","1939-04-04","1939-11-28","https://www.legislation.gov.au/Details/C2004Q00015"
"16","1932-04-13","1939-11-29","1947-03-11","https://www.legislation.gov.au/Details/C2004Q00016"
"17","1932-04-13","1947-03-12","1947-03-31","https://www.legislation.gov.au/Details/C2004Q00017"
"18","1932-04-13","1947-04-01","1950-11-15","https://www.legislation.gov.au/Details/C2004Q00018"
"19","1950-11-16","1950-11-16","1962-02-13","https://www.legislation.gov.au/Details/C2004Q00019"
"20","1950-11-16","1962-02-14","1964-01-15","https://www.legislation.gov.au/Details/C2004Q00024"
"21","1950-11-16","1964-01-16","1964-03-18","https://www.legislation.gov.au/Details/C2004Q00025"
"22","1950-11-16","1964-03-19","1965-01-07","https://www.legislation.gov.au/Details/C2004Q00026"
"23","1950-11-16","1965-01-08","1965-11-03","https://www.legislation.gov.au/Details/C2004Q00027"
"24","1950-11-16","1965-11-04","1967-03-08","https://www.legislation.gov.au/Details/C2004Q00028"
"25","1950-11-16","1967-03-09","1968-05-15","https://www.legislation.gov.au/Details/C2004Q00029"
"26","1950-11-16","1968-05-16","1970-04-15","https://www.legislation.gov.au/Details/C2004Q00030"
"27","1950-11-16","1970-04-16","1971-01-17","https://www.legislation.gov.au/Details/C2004Q00031"
"28","1950-11-16","1971-01-18","1972-03-05","https://www.legislation.gov.au/Details/C2004Q00032"
"29","1950-11-16","1972-03-06","1972-12-18","https://www.legislation.gov.au/Details/C2004Q00033"
"30","1972-12-19","1972-12-19","1974-09-30","https://www.legislation.gov.au/Details/C2004Q00034"
"31","1972-12-19","1974-10-01","1975-02-07","https://www.legislation.gov.au/Details/C2004Q00035"
"32","1972-12-19","1975-02-08","1975-06-30","https://www.legislation.gov.au/Details/C2004Q00036"
"33","1972-12-19","1975-07-01","1975-12-21","https://www.legislation.gov.au/Details/C2004Q00037"
"34","1975-12-22","1975-12-22","1976-10-04","https://www.legislation.gov.au/Details/C2004Q00038"
"35","1975-12-22","1976-10-05","1977-09-04","https://www.legislation.gov.au/Details/C2004Q00039"
"36","1975-12-22","1977-09-05","1977-12-19","https://www.legislation.gov.au/Details/C2004Q00040"
"37","1975-12-22","1977-12-20","1978-09-27","https://www.legislation.gov.au/Details/C2004Q00041"
"38","1975-12-22","1978-09-28","1979-02-20","https://www.legislation.gov.au/Details/C2004Q00042"
"39","1975-12-22","1979-02-21","1979-09-10","https://www.legislation.gov.au/Details/C2004Q00043"
"40","1975-12-22","1979-09-11","1980-09-02","https://www.legislation.gov.au/Details/C2004Q00044"
"41","1975-12-22","1980-09-03","1980-11-02","https://www.legislation.gov.au/Details/C2004Q00045"
"42","1975-12-22","1980-11-03","1981-12-20","https://www.legislation.gov.au/Details/C2004Q00046"
"43","1975-12-22","1981-12-21","1982-05-06","https://www.legislation.gov.au/Details/C2004Q00047"
"44","1975-12-22","1982-05-07","1983-03-10","https://www.legislation.gov.au/Details/C2004Q00048"
"45","1983-03-11","1983-03-11","1985-07-29","https://www.legislation.gov.au/Details/C2004Q00049"
"46","1983-03-11","1985-07-30","1986-01-29","https://www.legislation.gov.au/Details/C2004Q00054"
"47","1983-03-11","1986-01-30","1987-01-29","https://www.legislation.gov.au/Details/C2004Q00055"
"48","1983-03-11","1987-01-30","1987-07-23","https://www.legislation.gov.au/Details/C2004Q00056"
"49","1983-03-11","1987-07-24","1988-03-02","https://www.legislation.gov.au/Details/C2004Q00057"
"50","1983-03-11","1988-03-03","1989-03-12","https://www.legislation.gov.au/Details/C2004Q00058"
"51","1983-03-11","1989-03-13","1990-06-26","https://www.legislation.gov.au/Details/C2004Q00059"
"52","1983-03-11","1990-06-27","1992-01-30","https://www.legislation.gov.au/Details/C2004Q00060"
"53","1983-03-11","1992-01-31","1993-03-23","https://www.legislation.gov.au/Details/C2004Q00061"
"54","1983-03-11","1993-03-24","1994-05-31","https://www.legislation.gov.au/Details/C2004Q00062"
"55","1983-03-11","1994-06-01","1996-03-10","https://www.legislation.gov.au/Details/C2004Q00063"
"56","1996-03-11","1996-03-11","1998-06-17","https://www.legislation.gov.au/Details/C2004Q00064"
"57","1996-03-11","1998-06-18","1998-10-20","https://www.legislation.gov.au/Details/C2004Q00065"
"58","1996-03-11","1998-10-21","2001-09-12","https://www.legislation.gov.au/Details/C2004Q00066"
"59","1996-03-11","2001-09-13","2001-11-25","https://www.legislation.gov.au/Details/C2004Q00067"
"60","2001-11-26","2001-11-26","2003-12-17","https://www.legislation.gov.au/Details/C2005Q00176"
"61","2003-12-18","2003-12-18","2004-10-25","https://www.legislation.gov.au/Details/C2005Q00177"
"62","2004-10-26","2004-10-26","2004-12-15","https://www.legislation.gov.au/Details/C2005Q00178"
"63","2004-12-16","2004-12-16","2005-07-20","https://www.legislation.gov.au/Details/C2005Q00175"
"64","2004-12-16","2005-07-21","2006-01-26","https://www.legislation.gov.au/Details/C2005Q00187"
"65","2004-12-16","2006-01-27","2006-09-20","https://www.legislation.gov.au/Details/C2006Q00041"
"66","2006-09-21","2006-09-21","2007-01-29","https://www.legislation.gov.au/Details/C2006Q00131"
"67","2006-09-21","2007-01-30","2007-12-02","https://www.legislation.gov.au/Details/C2007Q00052"
"68","2007-12-03","2007-12-03","2008-01-24","https://www.legislation.gov.au/Details/C2007Q00174"
"69","2008-01-25","2008-01-25","2008-04-30","https://www.legislation.gov.au/Details/C2008Q00023"
"70","2008-01-25","2008-05-01","2010-03-07","https://www.legislation.gov.au/Details/C2008Q00124"
"71","2008-01-25","2010-03-08","2010-05-05","https://www.legislation.gov.au/Details/C2010Q00087"
"72","2008-01-25","2010-05-06","2010-06-28","https://www.legislation.gov.au/Details/C2010Q00099"
"73","2008-01-25","2010-06-29","2010-09-13","https://www.legislation.gov.au/Details/C2010Q00107"
"74","2010-09-14","2010-09-14","2010-10-13","https://www.legislation.gov.au/Details/C2010Q00191"
"75","2010-10-14","2010-10-14","2011-10-18","https://www.legislation.gov.au/Details/C2010Q00232"
"76","2010-10-14","2011-10-19","2011-12-06","https://www.legislation.gov.au/Details/C2011Q00072"
"77","2010-10-14","2011-12-07","2011-12-13","https://www.legislation.gov.au/Details/C2004Q00835"
"78","2011-12-14","2011-12-14","2012-02-08","https://www.legislation.gov.au/Details/C2011Q00073"
