"id_principal","date_enacted","first_amendment_date","event_act_id","date_repealed","parl_enacted","parl_repealed","parl_amended","amended_same_term","repealed_same_term","altered_same_term"
"C1901A00013",1901-12-12,NA,NA,1907-07-01,"1st Parliament","3rd Parliament",NA,0,0,0
"C1901A00014",1901-12-17,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00003",1902-04-15,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00007",1902-05-30,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00008",1902-06-12,NA,NA,1918-11-25,"1st Parliament","7th Parliament",NA,0,0,0
"C1902A00011",1902-07-26,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00014",1902-09-16,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00016",1902-10-10,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00017",1902-10-10,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00018",1902-10-10,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1902A00021",1902-10-10,NA,NA,1903-08-25,"1st Parliament","1st Parliament",NA,0,1,1
"C1902A00020",1902-10-10,NA,NA,1907-08-28,"1st Parliament","3rd Parliament",NA,0,0,0
"C1903A00001",1903-07-04,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00004",1903-07-30,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00003",1903-07-30,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00005",1903-07-30,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00009",1903-09-11,NA,NA,1918-11-25,"1st Parliament","7th Parliament",NA,0,0,0
"C1903A00010",1903-09-29,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00015",1903-10-22,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00017",1903-10-22,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00014",1903-10-22,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
"C1903A00016",1903-10-22,NA,NA,1934-08-06,"1st Parliament","13th Parliament",NA,0,0,0
