"id_amending","amend_weight","name"
"C1903A00013",1,"High Court Procedure Amendment Act 1903"
"C1903A00019",1,"Commonwealth Public Service Amendment Act 1903"
"C1904A00012",1,"Defence Act 1904"
"C1905A00005",1,"Service and Execution of Process Act 1905"
"C1905A00017",1,"Immigration Restriction Amendment Act 1905"
"C1905A00024",1,"Excise Tariff 1905"
"C1905A00026",1,"Commonwealth Electoral Act 1905"
"C1906A00005",1,"Judiciary Act 1906"
"C1906A00008",1,"Audit Act 1906"
"C1906A00015",1,"Excise Tariff (Amendment) 1906"
"C1906A00018",1,"Commonwealth Electoral Act 1906"
"C1906A00019",1,"Patents Act 1906"
"C1906A00020",1,"Excise Tariff 1906"
"C1906A00022",1,"Pacific Island Labourers Act 1906"
"C1907A00001",1,"Constitution Alteration (Senate Elections) 1906"
"C1907A00008",1,"Judiciary Act 1907"
"C1907A00010",1,"Disputed Elections and Qualifications Act 1907"
"C1908A00005",1,"Australian Industries Preservation Act 1907"
"C1908A00013",1,"Customs Tariff Amendment 1908"
"C1908A00014",1,"Excise Tariff (Starch) 1908"
"C1908A00025",1,"Immigration Restriction Act 1908"
"C1909A00003",1,"Invalid and Old-age Pensions Act 1909"
"C1909A00004",1,"Audit Act 1909"
"C1909A00015",1,"Defence Act 1909"
"C1909A00019",1,"Commonwealth Electoral Act 1909"
"C1909A00020",1,"Referendum (Constitution Alteration) Act 1909"
"C1909A00021",1,"Invalid and Old-age Pensions Act 1909 No. 2"
"C1909A00026",1,"Australian Industries Preservation Act 1909"
"C1909A00028",1,"Commonwealth Conciliation and Arbitration Act 1909"
"C1910A00003",1,"Constitution Alteration (State Debts) 1909"
"C1910A00009",1,"Customs (Inter-State Accounts) Act 1910"
"C1910A00010",1,"Immigration Restriction Act 1910"
"C1910A00016",1,"Sugar Bounty Act 1910"
"C1910A00017",1,"Excise (Sugar) Act 1910"
"C1910A00028",1,"Post and Telegraph Act 1910"
"C1910A00029",1,"Australian Industries Preservation Act 1910"
"C1910A00031",1,"Referendum (Constitution Alteration) Act 1910"
"C1910A00034",1,"Judiciary Act 1910"
"C1910A00036",1,"Customs Act 1910"
"C1910A00037",1,"Defence Act 1910"
"C1910A00039",1,"Customs Tariff 1910"
"C1911A00006",1,"Commonwealth Conciliation and Arbitration Act 1911"
"C1911A00008",1,"Post and Telegraph Rates Act 1911"
"C1911A00012",1,"Land Tax Assessment Act 1911"
"C1911A00015",1,"Defence Act 1911"
"C1911A00016",1,"Naval Defence Act 1911"
"C1911A00017",1,"Commonwealth Electoral Act 1911"
"C1911A00019",1,"Customs Tariff 1911"
"C1911A00021",1,"Australian Notes Act 1911"
"C1911A00026",1,"Commonwealth Public Service Act 1911"
"C1912A00003",1,"Kalgoorlie to Port Augusta Railway Act 1912"
"C1912A00004",1,"Royal Commissions Act 1912"
"C1912A00005",1,"Defence Act 1912"
"C1912A00006",1,"Audit Act 1912"
"C1912A00010",1,"Naval Agreement Act 1912"
"C1912A00012",1,"Sugar Bounty Act 1912"
"C1912A00014",1,"Designs Act 1912"
"C1912A00015",1,"Quarantine Act 1912"
"C1912A00017",1,"Referendum (Constitution Alteration) Act 1912"
"C1912A00018",1,"Service and Execution of Process Act 1912"
"C1912A00019",1,"Trade Marks Act 1912"
"C1912A00021",1,"Naval Defence Act 1912"
"C1912A00023",1,"Beer Excise Act 1912"
"C1912A00024",1,"Bills of Exchange Act 1912"
"C1912A00026",1,"Sugar Bounty Abolition Act 1912"
"C1912A00027",1,"Invalid and Old-age Pensions Act 1912"
"C1912A00028",1,"Manufactures Encouragement Act 1912"
"C1912A00030",1,"Post and Telegraph Act 1912"
"C1912A00031",1,"Judiciary Act 1912"
"C1912A00034",1,"Bounties Act 1912"
"C1912A00035",1,"Referendum (Constitution Alteration) Act (No. 2) 1912"
"C1912A00037",1,"Land Tax Assessment Act 1912"
"C1912A00038",1,"Immigration Act 1912"
"C1912A00040",1,"Commonwealth Inscribed Stock Act 1912"
"C1913A00016",1,"Commonwealth Inscribed Stock Act 1913"
"C1913A00017",1,"Commonwealth Public Service Act 1913"
"C1913A00023",0.5,"Post and Telegraph Act 1913"
"C1914A00004",1,"Manufactures Encouragement Act 1914"
"C1914A00005",1,"Commonwealth Conciliation and Arbitration Act 1914"
"C1914A00011",1,"Judiciary Act 1914"
"C1914A00016",1,"Patents, Trade Marks and Designs Act (No. 2) 1914"
"C1914A00017",1,"Trading with the Enemy Act (No. 2) 1914"
"C1914A00018",1,"Commonwealth Conciliation and Arbitration Act (No. 2) 1914"
"C1914A00019",1,"Customs Act 1914"
"C1914A00023",1,"Australian Notes Act 1914"
"C1914A00024",1,"Commonwealth Bank Act 1914"
"C1914A00028",1,"Land Tax Act 1914"
"C1914A00029",1,"Land Tax Assessment Act 1914"
"C1914A00031",0.333333333333333,"Loan Act (No. 2) 1914"
"C1914A00032",1,"Commonwealth Public Works Committee Act 1914"
"C1914A00036",0.5,"Defence Act 1914"
"C1915A00002",1,"War Precautions Act 1915"
"C1915A00003",1,"Defence Act 1915"
"C1915A00004",1,"Judiciary Act 1915"
"C1915A00005",1,"High Court Procedure Act 1915"
"C1915A00006",1,"Crimes Act 1915"
"C1915A00008",1,"Patents, Trade Marks and Designs Act 1915"
"C1915A00014",1,"Spirits Act 1915"
