id_principal,name,date_enacted,year_enacted
C1957A00088,Air Force (Canteens) Act 1957,1957-12-12,1957
C1957A00051,Appropriation Act 1957-58,1957-11-06,1957
C1958A00032,Appropriation Act (No. 2) 1957-58,1958-05-21,1958
C1957A00052,Appropriation (Works and Services) Act 1957-58,1957-11-06,1957
C1958A00033,Appropriation (Works and Services) Act (No. 2) 1957-58,1958-05-21,1958
C1957A00038,Australian Wool Testing Authority Act 1957,1957-09-12,1957
C1957A00102,Christmas Island (Request and Consent) Act 1957,1957-12-13,1957
C1957A00083,Commonwealth Aid Roads (Special Assistance) Act 1957,1957-12-12,1957
C1957A00085,Commonwealth Police Act 1957,1957-12-12,1957
C1957A00099,Customs Tariff Validation Act 1957,1957-12-13,1957
C1957A00031,Dairying Industry Act 1957,1957-05-30,1957
C1957A00096,Diesel Fuel Tax Act (No. 1) 1957,1957-12-13,1957
C1957A00097,Diesel Fuel Tax Act (No. 2) 1957,1957-12-13,1957
C1957A00098,Diesel Fuel Taxation (Administration) Act 1957,1957-12-13,1957
C1957A00100,Excise Tariff Validation Act 1957,1957-12-13,1957
C1957A00103,Geneva Conventions Act 1957,1957-12-18,1957
C1957A00062,Income Tax and Social Services Contribution Act 1957,1957-11-21,1957
C1957A00066,Loan (Housing) Act 1957,1957-11-29,1957
C1957A00005,Loan (International Bank for Reconstruction and Development) Act 1957,1957-04-15,1957
C1957A00006,Loan (Qantas Empire Airways Limited) Act 1957,1957-04-15,1957
C1957A00067,Loan (War Service Land Settlement) Act 1957,1957-12-03,1957
C1957A00042,National Capital Development Commission Act 1957,1957-09-12,1957
C1957A00016,National Service Act 1957,1957-05-25,1957
C1957A00040,National Service Act (No. 2) 1957,1957-09-12,1957
C1957A00089,Native Members of the Forces Benefits Act 1957,1957-12-12,1957
C1957A00029,Norfolk Island Act 1957,1957-05-30,1957
C1957A00028,Norfolk Island Ordinances Act 1957,1957-05-30,1957
C1957A00090,Petroleum Search Subsidy Act 1957,1957-12-12,1957
C1957A00039,Salaries (Statutory Offices) Adjustment Act 1957,1957-09-12,1957
C1957A00059,States Grants Act 1957,1957-11-20,1957
C1957A00058,States Grants (Special Financial Assistance) Act 1957,1957-11-20,1957
C1957A00007,States Grants (Universities) Act 1957,1957-04-15,1957
C1957A00019,Supply Act 1957-58,1957-05-29,1957
C1957A00049,Supply Act (No. 2) 1957-58,1957-10-31,1957
C1957A00020,Supply (Works and Services) Act 1957-58,1957-05-29,1957
C1957A00050,Supply (Works and Services) Act (No. 2) 1957-58,1957-10-31,1957
C1957A00022,Wheat Research Act 1957,1957-05-30,1957
C1957A00021,Wheat Tax Act 1957,1957-05-30,1957
C1957A00026,Wool Research Act 1957,1957-05-30,1957
C1957A00023,Wool Tax Act (No. 1) 1957,1957-05-30,1957
C1957A00024,Wool Tax Act (No. 2) 1957,1957-05-30,1957
C1958A00070,Airlines Equipment Act 1958,1958-10-10,1958
C1958A00060,Appropriation Act 1958-59,1958-10-08,1958
C1959A00034,Appropriation Act (No. 2) 1958-59,1959-05-15,1959
C1958A00061,Appropriation (Works and Services) Act 1958-59,1958-10-08,1958
C1959A00035,Appropriation (Works and Services) Act (No. 2) 1958-59,1959-05-15,1959
C1958A00041,Christmas Island Act 1958,1958-09-02,1958
C1958A00069,Christmas Island Agreement Act 1958,1958-10-10,1958
C1958A00081,Civil Aviation (Damage by Aircraft) Act 1958,1958-10-10,1958
C1958A00078,Copper Bounty Act 1958,1958-10-10,1958
C1958A00079,Customs Tariff Validation Act 1958,1958-10-10,1958
C1958A00075,Dairy Produce Levy Act 1958,1958-10-10,1958
C1958A00073,Dairy Produce Research and Sales Promotion Act 1958 ,1958-10-10,1958
C1958A00056,Income Tax and Social Services Contribution Act 1958,1958-10-01,1958
C1958A00077,Loan Act 1958,1958-10-10,1958
C1958A00071,Loan (Australian National Airlines Commission) Act 1958,1958-10-10,1958
C1958A00050,Loan (Housing) Act 1958,1958-10-01,1958
C1958A00072,Loan (Qantas Empire Airways Limited) Act 1958,1958-10-10,1958
C1958A00051,Loan (War Service Land Settlement) Act 1958,1958-10-01,1958
C1958A00062,Migration Act 1958,1958-10-08,1958
C1958A00083,Railway Standardization (New South Wales and Victoria) Agreement Act 1958,1958-10-10,1958
C1958A00082,River Murray Waters Act 1958,1958-10-10,1958
C1958A00066,States Grants Act 1958,1958-10-08,1958
C1958A00008,States Grants (Additional Assistance) Act 1958,1958-05-12,1958
C1958A00054,States Grants (Special Financial Assistance) Act 1958,1958-10-01,1958
C1958A00027,States Grants (Universities) Act 1958,1958-05-21,1958
C1958A00034,Supply Act 1958-59,1958-05-21,1958
C1958A00035,Supply (Works and Services) Act 1958-59,1958-05-21,1958
C1958A00028,Western Australia Grant (Northern Development) Act 1958,1958-05-21,1958
C1958A00029,Wheat Acquisition (Undistributed Moneys) Act 1958,1958-05-21,1958
C1958A00059,Wheat Export Charge Act 1958,1958-10-02,1958
C1958A00058,Wheat Industry Stabilization Act 1958,1958-10-02,1958
C1959A00089,Airports (Business Concessions) Act 1959,1959-12-03,1959
C1959A00067,Appropriation Act 1959-60,1959-11-13,1959
C1960A00033,Appropriation Act (No. 2) 1959-60,1960-06-03,1960
C1959A00068,Appropriation (Works and Services) Act 1959-60,1959-11-16,1959
C1960A00034,Appropriation (Works and Services) Act (No. 2) 1959-60,1960-06-03,1960
C1959A00030,Australian Universities Commission Act 1959 ,1959-05-07,1959
C1959A00006,Banking Act 1959,1959-04-23,1959
C1959A00007,Banking (Transitional Provisions) Act 1959,1959-04-23,1959
C1959A00083,Canned Fruit (Sales Promotion) Act 1959,1959-12-02,1959
C1959A00081,Canning-Fruit Charge Act 1959,1959-12-02,1959
C1959A00082,Canning-Fruit Charge (Administration) Act 1959,1959-12-02,1959
C1959A00002,Civil Aviation (Carriers' Liability) Act 1959,1959-01-21,1959
C1959A00039,Commonwealth Aid Roads Act 1959,1959-05-22,1959
C1959A00005,Commonwealth Banks Act 1959,1959-04-23,1959
C1959A00094,Commonwealth Motor Vehicles (Liability) Act 1959,1959-12-04,1959
C1959A00096,Customs Tariff Validation Act 1959,1959-12-04,1959
C1959A00103,Defence Forces Retirement Benefits Act 1959,1959-12-04,1959
C1959A00097,Excise Tariff Validation Act 1959,1959-12-04,1959
C1959A00101,Export Payments Insurance Corporation Act (No. 2) 1959,1959-12-04,1959
C1959A00046,Housing Loans Guarantees (Australian Capital Territory) Act 1959,1959-05-22,1959
C1959A00047,Housing Loans Guarantees (Northern Territory) Act 1959,1959-05-22,1959
C1959A00071,Income Tax and Social Services Contribution Act 1959,1959-11-20,1959
C1959A00086,Income Tax and Social Services Contribution (Non-resident Dividends) Act 1959,1959-12-02,1959
C1959A00033,International Monetary Agreements Act 1959,1959-05-13,1959
C1959A00069,International Wheat Agreement Act 1959,1959-11-20,1959
C1959A00100,Loan Act 1959,1959-12-04,1959
C1959A00075,Loan (Housing) Act 1959,1959-12-01,1959
C1959A00061,Loan (Short-term Borrowings) Act 1959,1959-11-12,1959
C1959A00074,Loan (War Service Land Settlement) Act 1959,1959-12-01,1959
C1959A00104,Matrimonial Causes Act 1959,1959-12-16,1959
C1959A00028,Northern Territory (Administration) Act 1959,1959-04-30,1959
C1959A00060,Petroleum Search Subsidy Act 1959,1959-11-04,1959
C1959A00004,Reserve Bank Act 1959,1959-04-23,1959
C1959A00076,States Grants Act 1959,1959-12-01,1959
C1959A00077,States Grants (Special Assistance) Act 1959,1959-12-01,1959
C1959A00052,Statutory Declarations Act 1959,1959-05-22,1959
C1959A00036,Supply Act 1959-60,1959-05-15,1959
C1959A00037,Supply (Works and Services) Act 1959-60,1959-05-15,1959
C1960A00040,Airports (Surface Traffic) Act 1960,1960-06-10,1960
C1960A00081,Aluminium Industry Act 1960,1960-12-13,1960
C1960A00048,Antarctic Treaty Act 1960,1960-11-02,1960
C1960A00050,Appropriation Act 1960-61,1960-11-12,1960
C1961A00030,Appropriation Act (No. 2) 1960-61,1961-05-25,1961
C1960A00051,Appropriation (Works and Services) Act 1960-61,1960-11-17,1960
C1961A00035,Appropriation (Works and Services) Act (No. 2) 1960-61,1961-06-02,1961
C1960A00003,Australian National University Act 1960,1960-04-08,1960
C1960A00006,Cattle and Beef Research Act 1960 ,1960-05-10,1960
C1960A00007,Cattle Slaughter Levy Act 1960,1960-05-10,1960
C1960A00008,Cattle Slaughter Levy Collection Act 1960,1960-05-10,1960
C1960A00012,Colonial Light Dues Legislation Repeal Act 1960,1960-05-13,1960
C1960A00054,Customs Tariff (Canada Preference) 1960,1960-11-19,1960
C1960A00025,Customs Tariff (Federation of Rhodesia and Nyasaland Preference) 1960,1960-05-26,1960
C1960A00068,Defence Forces Special Retirement Benefits Act 1960,1960-12-07,1960
C1960A00005,Flax Industry Act Repeal Act 1960,1960-05-05,1960
C1960A00059,Income Tax and Social Services Contribution Act (No. 2) 1960,1960-11-25,1960
C1960A00087,Indus Basin Development Fund Agreement Act 1960,1960-12-14,1960
C1960A00021,International Development Association Act 1960,1960-05-26,1960
C1960A00014,International Monetary Agreements Act 1960,1960-05-14,1960
C1960A00086,Loan (Australian National Airlines Commission) Act 1960,1960-12-13,1960
C1960A00062,Loan (Housing) Act 1960,1960-11-25,1960
C1960A00078,Loan (Qantas Empire Airways Limited) Act 1960,1960-12-09,1960
C1960A00083,National Capital Development Commission Act 1960,1960-12-13,1960
C1960A00069,National Library Act 1960,1960-12-07,1960
C1960A00028,National Service (Discharge of Trainees) Act 1960,1960-05-26,1960
C1960A00011,Pollution of the Sea by Oil Act 1960,1960-05-13,1960
C1960A00102,Pyrites Bounty Act 1960,1960-12-15,1960
C1960A00017,Salaries (Statutory Offices) Adjustment Act 1960,1960-05-17,1960
C1960A00104,Snowy Mountains Hydro-electric Authority Act 1960,1960-12-15,1960
C1960A00016,State Grant (Special Assistance to South Australia) Act 1960,1960-05-17,1960
C1960A00060,States Grants (Special Assistance) Act 1960,1960-11-25,1960
