id_amending,name,date_enacted,year_enacted,administered_by,date_repealed,repealing_act_id,word_count
C2016A00082,Counter-Terrorism Legislation Amendment Act (No. 1) 2016,20161129,2016,Attorney-General's,NA,NA,33915
C2019A00120,Communications Legislation Amendment (Deregulation and Other Measures) Act 2019,20191212,2019,"Infrastructure, Transport, Regional Development and Communications",NA,NA,6143
C1933A00017,Financial Relief Act 1933,19331026,1933,NA,19501231,C1950A00080,15673
C1935A00061,Sales Tax (Securities and Exemptions) Act 1935,19351207,1935,NA,20140624,C2014A00028,2392
C1936A00078,Sales Tax Amendment Act 1936,19361207,1936,NA,20140624,C2014A00028,9721
C1950A00080,Statute Law Revision Act 1950,19501216,1950,NA,20140624,C2014A00028,12732
C1966A00093,Statute Law Revision (Decimal Currency) Act 1966,19661029,1966,NA,20140624,C2014A00028,17143
C2004A00306,Social Security Legislation Amendment (Youth Allowance Consequential and Related Measures) Act 1998,19980617,1998,Social Services,NA,NA,NA
C2004A00308,Tax Law Improvement Act (No. 1) 1998,19980622,1998,Treasury,NA,NA,149611
C2004A00330,Financial Sector Reform (Consequential Amendments) Act 1998,19980629,1998,Treasury,NA,NA,23097
C2004A00357,Social Security and Veterans' Affairs Legislation Amendment (Budget and Other Measures) Act 1998,19980715,1998,"Veterans' Affairs; Families, Housing, Community Services and Indigenous Affairs",20160310,C2016A00005,28718
C2004A00359,Primary Industries and Energy Legislation Amendment Act (No. 1) 1998,19980730,1998,"Industry, Science, Energy and Resources",NA,NA,NA
C2004A00401,Judiciary Amendment Act 1999,19990331,1999,Attorney-General's,NA,NA,4962
C2004A00405,Taxation Laws Amendment Act (No. 3) 1999,19990331,1999,Treasury,20160310,C2016A00005,26623
C2004A00406,Assistance for Carers Legislation Amendment Act 1999,19990409,1999,Social Services,NA,NA,26119
C2004A00423,Primary Industries Levies and Charges (Consequential Amendments) Act 1999,19990514,1999,"Agriculture, Water and the Environment",NA,NA,11145
C2004A00507,Defence Legislation Amendment Act (No. 1) 1999,19990922,1999,Defence,NA,NA,4401
C2004A00509,Statute Stocktake Act 1999,19990922,1999,Attorney-General's,NA,NA,3695
C2004A00516,Law and Justice Legislation Amendment Act 1999,19991013,1999,DEWR,20160310,C2016A00005,3534
C2004A00547,Corporate Law Economic Reform Program Act 1999,19991124,1999,Treasury,NA,NA,113715
C2004A00552,Australian Security Intelligence Organisation Legislation Amendment Act 1999,19991210,1999,Attorney-General's,NA,NA,10109
C2004A00583,Federal Magistrates (Consequential Amendments) Act 1999,19991223,1999,Attorney-General's,NA,NA,13834
