id_amending,name,date_enacted,year_enacted
C2014A00028,Amending Acts 1901 to 1969 Repeal Act 2014,2014-05-27,2014
C1903A00019,Commonwealth Public Service Amendment Act 1903,1903-10-22,1903
C1903A00013,High Court Procedure Amendment Act 1903,1903-10-21,1903
C1904A00012,Defence Act 1904,1904-12-09,1904
C1905A00026,Commonwealth Electoral Act 1905,1905-12-21,1905
C1905A00024,Excise Tariff 1905,1905-12-21,1905
C1905A00017,Immigration Restriction Amendment Act 1905,1905-12-21,1905
C1905A00005,Service and Execution of Process Act 1905,1905-08-25,1905
C1906A00008,Audit Act 1906,1906-09-24,1906
C1906A00018,Commonwealth Electoral Act 1906,1906-10-12,1906
C1907A00001,Constitution Alteration (Senate Elections) 1906,1907-04-03,1907
C1906A00020,Excise Tariff 1906,1906-10-12,1906
C1906A00015,Excise Tariff (Amendment) 1906,1906-10-12,1906
C1906A00005,Judiciary Act 1906,1906-08-28,1906
C1906A00022,Pacific Island Labourers Act 1906,1906-10-12,1906
C1906A00019,Patents Act 1906,1906-10-12,1906
C1908A00005,Australian Industries Preservation Act 1907,1908-04-14,1908
C1907A00010,Disputed Elections and Qualifications Act 1907,1907-11-22,1907
C1907A00008,Judiciary Act 1907,1907-10-14,1907
C1908A00013,Customs Tariff Amendment 1908,1908-06-10,1908
C1908A00014,Excise Tariff (Starch) 1908,1908-06-10,1908
C1908A00025,Immigration Restriction Act 1908,1908-12-14,1908
C1909A00004,Audit Act 1909,1909-08-20,1909
C1909A00026,Australian Industries Preservation Act 1909,1909-12-13,1909
C1909A00028,Commonwealth Conciliation and Arbitration Act 1909,1909-12-13,1909
C1909A00019,Commonwealth Electoral Act 1909,1909-12-13,1909
C1910A00003,Constitution Alteration (State Debts) 1909,1910-08-06,1910
C1909A00015,Defence Act 1909,1909-12-13,1909
C1909A00003,Invalid and Old-age Pensions Act 1909,1909-08-13,1909
C1909A00021,Invalid and Old-age Pensions Act 1909 No. 2,1909-12-13,1909
C1909A00020,Referendum (Constitution Alteration) Act 1909,1909-12-13,1909
C1910A00029,Australian Industries Preservation Act 1910,1910-11-25,1910
C1910A00036,Customs Act 1910,1910-12-01,1910
C1910A00009,Customs (Inter-State Accounts) Act 1910,1910-09-02,1910
C1910A00039,Customs Tariff 1910,1910-12-01,1910
C1910A00037,Defence Act 1910,1910-12-01,1910
C1910A00017,Excise (Sugar) Act 1910,1910-10-25,1910
C1910A00010,Immigration Restriction Act 1910,1910-09-16,1910
C1910A00034,Judiciary Act 1910,1910-12-01,1910
C1910A00028,Post and Telegraph Act 1910,1910-11-25,1910
C1910A00031,Referendum (Constitution Alteration) Act 1910,1910-12-01,1910
C1910A00016,Sugar Bounty Act 1910,1910-10-25,1910
C1911A00021,Australian Notes Act 1911,1911-12-22,1911
C1911A00006,Commonwealth Conciliation and Arbitration Act 1911,1911-11-23,1911
