id_principal,name,date_enacted,year_enacted,date_repealed,repealing_act_id,word_count,departments,dept_1,dept_2,dept_3,dept_4,dept_5,dept_6,dept_7
C1901A00002,Acts Interpretation Act 1901,19010712,1901,NA,NA,3527,attorney general,attorney general,NA,NA,NA,NA,NA,NA
C1901A00004,Audit Act 1901,19010807,1901,19980101,C2004A05249,10309,finance; prime minister and cabinet,finance,prime minister and cabinet,NA,NA,NA,NA,NA
C1901A00005,State Laws and Records Recognition Act 1901,19010905,1901,19950418,C2004A04859,2071,attorney general,attorney general,NA,NA,NA,NA,NA,NA
C1901A00006,Customs Act 1901,19011003,1901,NA,NA,18323,"home affairs; industry, science, energy and resources",home affairs,"industry, science, energy and resources",NA,NA,NA,NA,NA
C1901A00007,Beer Excise Act 1901,19011005,1901,19691001,C1968A00107,5085,"industry, science and tourism","industry, science and tourism",NA,NA,NA,NA,NA,NA
C1901A00008,Distillation Act 1901,19011005,1901,20060701,C2006A00074,15011,treasury,treasury,NA,NA,NA,NA,NA,NA
C1901A00009,Excise Act 1901,19011005,1901,NA,NA,11311,treasury,treasury,NA,NA,NA,NA,NA,NA
C1901A00011,Service and Execution of Process Act 1901,19011016,1901,19930410,C2004A04457,5011,attorney general,attorney general,NA,NA,NA,NA,NA,NA
C1901A00012,Post and Telegraph Act 1901,19011116,1901,19750701,C2004A00278,22353,postmaster general,postmaster general,NA,NA,NA,NA,NA,NA
C1901A00013,Property for Public Purposes Acquisition Act 1901,19011212,1901,19070701,C1906A00013,10589,home affairs,home affairs,NA,NA,NA,NA,NA,NA
C1901A00016,Pacific Island Labourers Act 1901,19011217,1901,19590601,C1958A00062,744,external affairs,external affairs,NA,NA,NA,NA,NA,NA
C1901A00014,Punishment of Offences Act 1901,19011217,1901,19340806,C1934A00045,360,NA,NA,NA,NA,NA,NA,NA,NA
C1901A00017,Immigration Restriction Act 1901,19011223,1901,19590601,C1958A00062,2505,external affairs,external affairs,NA,NA,NA,NA,NA,NA
C1902A00003,Coronation Celebration Act 1902,19020415,1902,19340806,C1934A00045,183,NA,NA,NA,NA,NA,NA,NA,NA
C1902A00005,Commonwealth Public Service Act 1902,19020505,1902,19230719,C1922A00021,13896,prime minister and cabinet; health,prime minister and cabinet,health,NA,NA,NA,NA,NA
C1902A00007,Governor-General's Establishment Act 1902,19020530,1902,19340806,C1934A00045,136,NA,NA,NA,NA,NA,NA,NA,NA
C1902A00008,Commonwealth Franchise Act 1902,19020612,1902,19181125,C1918A00027,329,the home and territories,the home and territories,NA,NA,NA,NA,NA,NA
C1902A00011,Excise Tariff 1902,19020726,1902,19340806,C1934A00045,1003,treasury,treasury,NA,NA,NA,NA,NA,NA
C1902A00012,Royal Commissions Act 1902,19020908,1902,NA,NA,622,attorney general,attorney general,NA,NA,NA,NA,NA,NA
C1902A00013,Post and Telegraph Rates Act 1902,19020909,1902,19750701,C2004A00278,669,postmaster general,postmaster general,NA,NA,NA,NA,NA,NA
C1902A00014,Customs Tariff 1902,19020916,1902,19340806,C1934A00045,10748,"home affairs; industry, science, energy and resources",home affairs,"industry, science, energy and resources",NA,NA,NA,NA,NA
C1902A00016,Appropriation Act 1901-2,19021010,1902,19340806,C1934A00045,44481,treasury,treasury,NA,NA,NA,NA,NA,NA
C1902A00017,Appropriation Act 1902-3,19021010,1902,19340806,C1934A00045,46652,treasury,treasury,NA,NA,NA,NA,NA,NA
C1902A00018,Appropriation (Works and Buildings) Act 1902-3,19021010,1902,19340806,C1934A00045,2251,treasury,treasury,NA,NA,NA,NA,NA,NA
C1902A00021,Claims against the Commonwealth Act 1902,19021010,1902,19030825,C1903A00006,515,NA,NA,NA,NA,NA,NA,NA,NA
C1902A00019,Commonwealth Electoral Act 1902,19021010,1902,19181125,C1918A00027,17419,finance,finance,NA,NA,NA,NA,NA,NA
C1902A00020,Parliamentary Allowances Act 1902,19021010,1902,19070828,C1907A00005,211,finance,finance,NA,NA,NA,NA,NA,NA
C1903A00001,Supply Act (No. 1) 1903-4,19030704,1903,19340806,C1934A00045,284,treasury,treasury,NA,NA,NA,NA,NA,NA
